Actors,Awards,BoxOffice,Country,DVD,Director,Error,Genre,Language,Metascore,Plot,Poster,Production,Rated,Ratings,Released,Response,Runtime,Title,Type,Website,Writer,Year,imdbID,imdbRating,imdbVotes,totalSeasons,Ratings.Internet Movie Database,Ratings.Rotten Tomatoes,Ratings.Metacritic
"Kurt Russell, Kim Cattrall, Dennis Dun, James Hong",1 win & 1 nomination.,,USA,22-May-01,John Carpenter,,"Action, Adventure, Comedy","English, Cantonese",53,"Truck driver Jack Burton arrives in Chinatown, San Francisco, and goes to the airport with his Chinese friend Wang Chi to welcome his green-eyed fiancée Miao Yin who is arriving from China. However she is kidnapped on the arrival by a Chinese street gang and Jack and Wang chase the group. Soon they learn that the powerful evil sorcerer called David Lo Pan, who has been cursed more than two thousand years ago to exist without physical body, needs to marry a woman with green eyes to retrieve his physical body and Miao is the chosen one. Jack and Wang team-up with the lawyer Gracie Law, the bus driver and sorcerer apprentice Egg Shen and their friends and embark in a great adventure in the underground of Chinatown, where they face a world of magicians and magic, monsters and martial arts fighters.",https://m.media-amazon.com/images/M/MV5BNzlhYjEzOGItN2MwNS00ODRiLWE5OTItYThiNmJlMTdmMzgxXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,Twentieth Century Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '82%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",2-Jul-86,TRUE,99 min,Big Trouble in Little China,movie,,"Gary Goldman, David Z. Weinstein, W.D. Richter (adaptation)",1986,tt0090728,7.3,"107,227",,0.73,0.82,0.53
"Terence Stamp, Martyn Ford, Paul Freeman, Will Mellor",,,UK,,David L.G. Hughes,,"Action, Adventure, Fantasy",English,,"A Viking Princess is forced to flee her kingdom after being framed for the murder of her father, the King. Under the guidance of the God Odin, she travels the world gaining wisdom and building the army she needs to win back her throne.",https://m.media-amazon.com/images/M/MV5BODA0NTEzMjcyOV5BMl5BanBnXkFtZTgwOTY1ODIyNjM@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '4.0/10'}]",30-Jul-18,TRUE,91 min,Viking Destiny,movie,,David L.G. Hughes,2018,tt5657280,4,238,,0.4,-1,-1
"Judy Garland, James Mason, Jack Carson, Charles Bickford",Nominated for 6 Oscars. Another 5 wins & 5 nominations.,,USA,1-May-01,George Cukor,,"Drama, Musical, Romance",English,89,"Norman Maine, a movie star whose career is on the wane, meets showgirl Esther Blodgett when he drunkenly stumbles into her act one night. A friendship develops, then blossoms into romance before tensions increase as Esther's career takes off while Norman's continues to plummet.",https://m.media-amazon.com/images/M/MV5BNTg2MzMwYzUtZjk0Yy00MGM2LTk1NmUtMmVhYjRhNzNmZmIwXkEyXkFqcGdeQXVyMDI2NDg0NQ@@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '7.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '89/100'}]",16-Oct-54,TRUE,154 min,A Star Is Born,movie,,"Moss Hart (screen play by), Dorothy Parker (based on the 1937 screen play by), Alan Campbell (based on the 1937 screen play by), Robert Carson (based on the 1937 screen play by), William A. Wellman (based on the 1937 story by), Robert Carson (based on the 1937 story by)",1954,tt0047522,7.8,"12,276",,0.78,0.97,0.89
"K.J. Apa, Amandla Stenberg, Regina Hall, Anthony Mackie",,,USA,,George Tillman Jr.,,"Crime, Drama",English,,"Starr witnesses the fatal shooting of her childhood best friend Khalil at the hands of a police officer. Now, facing pressures from all sides of the community, Starr must find her voice and stand up for what's right.",https://m.media-amazon.com/images/M/MV5BZDVkMWJiMzUtNjQyOS00MGVmLWJhYmMtN2IxYzU4MjY3MDRmXkEyXkFqcGdeQXVyNzA5NjIzODk@._V1_SX300.jpg,20th Century Fox,,"[{'Source': 'Rotten Tomatoes', 'Value': '96%'}]",19-Oct-18,TRUE,,The Hate U Give,movie,,"Audrey Wells (screenplay by), Angie Thomas (based upon the novel by)",2018,tt5580266,,,,-1,0.96,-1
"Peter Bogdanovich, Mel Brooks, Bill Hader, Werner Herzog",,,USA,,Peter Bogdanovich,,Documentary,English,69,,https://m.media-amazon.com/images/M/MV5BNjAwOTE4MTY2Ml5BMl5BanBnXkFtZTgwNTIyNDI0NjM@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '7.6/10'}, {'Source': 'Metacritic', 'Value': '69/100'}]",5-Oct-18,TRUE,102 min,The Great Buster,movie,,Peter Bogdanovich,2018,tt8758548,7.6,25,,0.76,-1,0.69
Jeffrey Wright,,,USA,,"Joseph Dorman(co-director), Toby Perl Freilich(co-director)",,"Documentary, Biography",English,,"A biographical portrait of Daniel Patrick Moynihan, twentieth century colossus: public intellectual, policy specialist, ambassador and NY senator. The film captures the spirit of Moynihan's...",https://m.media-amazon.com/images/M/MV5BMTc1MTMxNjk4OF5BMl5BanBnXkFtZTgwMjk5MjAzNjM@._V1_SX300.jpg,First Run Features,,[],3-Oct-18,TRUE,102 min,Moynihan,movie,,Joseph Dorman,2018,tt8426610,,,,-1,-1,-1
"Tommy Caldwell, Jimmy Chin, Alex Honnold, Sanni McCandless",,,USA,,"Jimmy Chin, Elizabeth Chai Vasarhelyi",,Documentary,English,83,"Follow Alex Honnold as he becomes the first person to ever free solo climb Yosemite's 3,000ft high El Capitan Wall. With no ropes or safety gear, he completed arguably the greatest feat in rock climbing history.",https://m.media-amazon.com/images/M/MV5BMjE2MDIwMDU5Ml5BMl5BanBnXkFtZTgwMTkxNTgzNjM@._V1_SX300.jpg,National Geographic Documentary Films,,"[{'Source': 'Internet Movie Database', 'Value': '8.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '83/100'}]",28-Sep-18,TRUE,100 min,Free Solo,movie,http://FreeSoloFilm.com,,2018,tt7775622,8.1,164,,0.81,1,0.83
"Angelique Hennessy, Jerad Anderson, Danielle Noble, Kristina Conzen",2 wins & 1 nomination.,,USA,7-Aug-07,Jim Hemphill,,"Drama, Horror, Thriller",English,,A high school girl wrongly branded as the school slut embraces her 'bad reputation' and takes revenge on the kids who have made her life a living hell.,https://ia.media-imdb.com/images/M/MV5BMTk3MDM4MzY3N15BMl5BanBnXkFtZTcwOTkwNjMzMQ@@._V1_SX300.jpg,,R,"[{'Source': 'Internet Movie Database', 'Value': '4.3/10'}]",5-Oct-05,TRUE,90 min,Bad Reputation,movie,,Jim Hemphill,2005,tt0478976,4.3,643,,0.43,-1,-1
"Chanté Adams, Giuseppe Ardizzone, Nicole Beharie, Cara Buono",1 nomination.,,USA,,Reinaldo Marcus Green,,Drama,English,70,"The aftermath of a police killing of a black man, told through the eyes of the bystander who filmed the act, an African-American police officer and a high-school baseball phenom inspired to take a stand.",https://m.media-amazon.com/images/M/MV5BMjA5NjQzMjAzMl5BMl5BanBnXkFtZTgwNjYxOTI0NTM@._V1_SX300.jpg,NEON,,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '79%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",28-Sep-18,TRUE,95 min,Monsters and Men,movie,,Reinaldo Marcus Green,2018,tt7689906,5.8,102,,0.58,0.79,0.7
"Mary Elizabeth Winstead, Common, Chace Crawford, Camryn Manheim",,,USA,,Eva Vives,,"Comedy, Drama",English,76,"Nina Geld (Winstead) is a bracingly funny and blisteringly provocative stand-up comedian whose career is taking off, but whose personal life is a near-complete disaster. To escape a ...",https://m.media-amazon.com/images/M/MV5BMjQ0MjIyZTgtZjYyMS00NGE5LWE4MWQtMWQ0OWFjNGU0MDA1XkEyXkFqcGdeQXVyODE0MDY3NzY@._V1_SX300.jpg,Diablo Entertainment,,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '100%'}, {'Source': 'Metacritic', 'Value': '76/100'}]",28-Sep-18,TRUE,97 min,All About Nina,movie,,Eva Vives,2018,tt7542576,7.3,61,,0.73,1,0.76
"Joey King, Andrea Savage, Erin Darke, Paul Scheer",2 nominations.,,USA,,Becca Gleason,,Comedy,English,,A 16-year-old girl and her extended family are left reeling after her calculating grandmother unveils an array of secrets on her deathbed.,https://m.media-amazon.com/images/M/MV5BZjhjYjVmZmYtMzBiNi00OWYxLWEwNjUtNjQ1NWEzOTgxODc4XkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_SX300.jpg,Blue Fox Entertainment,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '59%'}]",28-Sep-18,TRUE,95 min,Summer '03,movie,,Becca Gleason,2018,tt7284204,7.1,68,,0.71,0.59,-1
"Asher Lax, Ami Smolartchik, Yaacov Cohen, Keren Berger",4 wins & 9 nominations.,,"Israel, Poland",11-Dec-18,Matan Yair,,Drama,Hebrew,,"17-year- old ASHER has always been the impulsive troublemaker, from primary school, all through junior high and high school. It's hard for him to concentrate in class, and he is compelled ...",https://images-na.ssl-images-amazon.com/images/M/MV5BMzRlMzU3ZDUtOTRhNS00MGZjLWE2MDYtMGIyNzI3YzQ1MzJlXkEyXkFqcGdeQXVyMjg4NzQ2NDE@._V1_SX300.jpg,Breaking Glass Pictures,,"[{'Source': 'Internet Movie Database', 'Value': '7.2/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}]",9-Nov-17,TRUE,90 min,Scaffolding,movie,,Matan Yair,2017,tt6253214,7.2,163,,0.72,0.83,-1
"Channing Tatum, James Corden, Zendaya, Common",,,USA,,"Karey Kirkpatrick, Jason Reisig(co-director)",,"Animation, Adventure, Comedy",English,59,"A Yeti is convinced that the elusive creatures known as ""humans"" really do exist.",https://m.media-amazon.com/images/M/MV5BMTc5NzI1NjY4MV5BMl5BanBnXkFtZTgwNDIxNTIyNDM@._V1_SX300.jpg,Warner Bros. Pictures,PG,"[{'Source': 'Internet Movie Database', 'Value': '6.8/10'}, {'Source': 'Metacritic', 'Value': '59/100'}]",28-Sep-18,TRUE,96 min,Smallfoot,movie,http://www.smallfootmovie.com/,"Karey Kirkpatrick (screenplay by), Clare Sera (screenplay by), John Requa (screen story by), Glenn Ficarra (screen story by), Karey Kirkpatrick (screen story by), Sergio Pablos (based on the book ""Yeti Tracks"" by), Sergio Pablos",2018,tt6182908,6.8,"1,541",,0.68,-1,0.59
"Hugo Weaving, James Frecheville, Stephen Rea, Freddie Fox",,,"Ireland, Luxembourg",,Lance Daly,,"Action, Drama","English, Irish",64,"Set in Ireland during the Great Famine, the drama follows an Irish Ranger who has been fighting for the British Army abroad, as he abandons his post to reunite with his family. Despite ...",https://m.media-amazon.com/images/M/MV5BNzQzMzAwOGYtMjFkMC00YTQwLTllNWEtYmU5NzM2NWExNzI4XkEyXkFqcGdeQXVyODY3Nzc0OTk@._V1_SX300.jpg,IFC Films,,"[{'Source': 'Internet Movie Database', 'Value': '7.0/10'}, {'Source': 'Rotten Tomatoes', 'Value': '69%'}, {'Source': 'Metacritic', 'Value': '64/100'}]",28-Sep-18,TRUE,100 min,Black '47,movie,,"Lance Daly, P.J. Dillon (story by), P.J. Dillon, Eugene O'Brien (additional material), Pierce Ryan (story by), Pierce Ryan",2018,tt3208026,7,"1,742",,0.7,0.69,0.64
Ruby Berube,1 nomination.,,USA,,"Elan Bogarin, Jonathan Bogarin",,Documentary,English,,"When two siblings undertake an archaeological excavation of their late grandmother's house, they embark on a magical-realist journey in search of what life remains in the objects we leave behind.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTcxOTU3MDE5NF5BMl5BanBnXkFtZTgwNzkwNDgyNDM@._V1_SX300.jpg,El Tigre Productions,,"[{'Source': 'Rotten Tomatoes', 'Value': '70%'}]",18-Jan-18,TRUE,82 min,306 Hollywood,movie,,"Elan Bogarin, Jonathan Bogarin, Nyneve Laura Minnear",2018,tt6296764,,,,-1,0.7,-1
"Sandra Bullock, Jason Patric, Willem Dafoe, Temuera Morrison",1 win & 9 nominations.,,USA,9-Mar-99,Jan de Bont,,"Action, Adventure, Crime","English, American Sign Language, Portuguese",23,"Annie Porter, the woman who was held on a bus with a bomb attached to it that will go off if it slows down. She dated the cop who saved her but broke up with him because he was constantly putting his life in danger. She would then date a guy named Alex who is also a cop but told her that he does a mundane assignment. But she eventually learns that he works for the same unit that the other guy worked for and is also addicted to danger. She wants to break up with but he surprises her with a cruise. She agrees to go. And he's planning to propose to her. But when he notices another passenger act peculiar, he can't help but try to find out what's up with him. He's Geiger, a computer man who designed the ship's systems, who was fired. He then takes over the ship's systems and sets it on a course that will send it into a tanker. Alex tries to stop him.",https://m.media-amazon.com/images/M/MV5BOTRlOTQ0MzItZjUwYi00MDkwLWIwYTctZTgyNGY3OGQwZWViXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Fox,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '3.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '3%'}, {'Source': 'Metacritic', 'Value': '23/100'}]",13-Jun-97,TRUE,121 min,Speed 2: Cruise Control,movie,,"Graham Yost (characters), Jan de Bont (story), Randall McCormick (story), Randall McCormick (screenplay), Jeff Nathanson (screenplay)",1997,tt0120179,3.8,"66,911",,0.38,0.03,0.23
"Ondas Besikbasov, Erbolat Toguzakov",4 nominations.,,Kazakhstan,,Ermek Tursunov,,"Action, Adventure, Drama","Kazakh, Russian",,"Inspired by Hemingway's novel ""The Old Man and the Sea"" and Official entry from Kazakhstan - Oscars 2014 - Best Foreign Language. Hemingway's ""Old Man and the Sea"" is reset in the severe winter steppes of Kazakhstan where merciless wolves are awaiting their prey. How far can an old man go, lost in a snowstorm and faced with ferocious beasts, in order to protect his beloved sheep and his own life?",https://ia.media-imdb.com/images/M/MV5BOTRmN2M4OTAtMWQ1MC00YTNiLTk0NzEtODBmMjE4NTBjZDhlXkEyXkFqcGdeQXVyMjAwMzU2MDY@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '7.3/10'}]",8-Sep-14,TRUE,102 min,The Old Man,movie,,Ermek Tursunov,2012,tt2182115,7.3,501,,0.73,-1,-1
"Beckam Crawford, Riley Keough, Jeffrey Wright, Michael Tayles",,,USA,28-Sep-18,Jeremy Saulnier,,"Adventure, Drama, Mystery",English,63,"After the deaths of three children suspected to be killed by wolves, writer Russell Core is hired by the parents of a missing six-year-old boy to track down and locate their son in the Alaskan wilderness.",https://m.media-amazon.com/images/M/MV5BMTU3NjMxNTYwOV5BMl5BanBnXkFtZTgwMzM5NzAzNjM@._V1_SX300.jpg,Netflix,,"[{'Source': 'Internet Movie Database', 'Value': '5.8/10'}, {'Source': 'Rotten Tomatoes', 'Value': '64%'}, {'Source': 'Metacritic', 'Value': '63/100'}]",28-Sep-18,TRUE,125 min,Hold the Dark,movie,,"Macon Blair (screenplay by), William Giraldi (based on the book by)",2018,tt5057140,5.8,"7,304",,0.58,0.64,0.63
"Tiffany Haddish, Kevin Hart, Taran Killam, Romany Malco",,,USA,,Malcolm D. Lee,,Comedy,English,43,A group of troublemakers are forced to attend night school in hope that they'll pass the GED exam to finish high school.,https://m.media-amazon.com/images/M/MV5BYzEyYzg5N2YtZmYzZC00OTg0LWE3ZmYtNDZhMGFkOTBjOTYxXkEyXkFqcGdeQXVyNDg2MjUxNjM@._V1_SX300.jpg,Universal Pictures,PG-13,"[{'Source': 'Internet Movie Database', 'Value': '5.5/10'}, {'Source': 'Metacritic', 'Value': '43/100'}]",28-Sep-18,TRUE,111 min,Night School,movie,https://www.nightschoolmovie.com/,"Kevin Hart, Harry Ratchford, Joey Wells, Matthew Kellard, Nicholas Stoller, John Hamburg",2018,tt6781982,5.5,"2,104",,0.55,-1,0.43
"Jirí Mádl, Clémence Thioly, Juraj Adamík, Jirí Bartoska",8 nominations.,,"Slovakia, Czech Republic",,Milan Cieslar,,"Biography, Drama, History",English,,"Arnost Lustig was one of the world's most renowned literary authors of our times. Lustig's novel 'A girl from Antwerp' upon which our film Colette is based, draws on the author's personal Nazi Concentration Camp experience and his own recollection of several escape attempts from the hell of Auschwitz. The story of The Pulitzer Prize nominee Lustig is about the power of love under an extreme life circumstances. It is a story of young lovers and their vigorous determination to escape from a hopeless life condition and theirs courage to face death.",https://ia.media-imdb.com/images/M/MV5BZWUzZDM2OWUtNjUxZS00ZGNjLWE4ZjgtODRhYjQzYmQyZWEwXkEyXkFqcGdeQXVyMjIxMzMyMQ@@._V1_SX300.jpg,,,"[{'Source': 'Internet Movie Database', 'Value': '6.0/10'}]",12-Sep-13,TRUE,126 min,Colette,movie,,"Geraldine Blecker, Milan Cieslar (screenplay), Arnost Lustig (story)",2013,tt2679576,6,373,,0.6,-1,-1
"John C. Reilly, Joaquin Phoenix, Jake Gyllenhaal, Riz Ahmed",,,"France, Spain, Romania, USA",,Jacques Audiard,,"Adventure, Comedy, Crime",English,78,"Based on Patrick DeWitt's novel, The Sisters Brothers revolves around the colourfully named gold prospector Hermann Kermit Warm, who's being pursued across 1000 miles of 1850s Oregon desert to San Francisco by the notorious assassins Eli and Charlie Sisters. Except Eli is having a personal crisis and beginning to doubt the longevity of his chosen career. And Hermann might have a better offer.",https://m.media-amazon.com/images/M/MV5BOTZmNTI1MzMtMGY0ZS00YTRlLWI4OTktYzE3YzZjZjJkNDVlXkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_SX300.jpg,Annapurna Pictures,,"[{'Source': 'Internet Movie Database', 'Value': '7.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '83%'}, {'Source': 'Metacritic', 'Value': '78/100'}]",21-Sep-18,TRUE,121 min,The Sisters Brothers,movie,https://www.thesistersbrothers.movie/,"Jacques Audiard (screenplay by), Thomas Bidegain (screenplay by), Patrick DeWitt (based on the book by)",2018,tt4971344,7.1,"1,696",,0.71,0.83,0.78
"Rashida Jones, Peggy Lipton, Oprah Winfrey, Mary J. Blige",,,USA,21-Sep-18,"Alan Hicks, Rashida Jones",,Documentary,English,,,,Netflix,,[],,TRUE,,Quincy,movie,,,2018,tt7440432,,,,-1,-1,-1
"David Hogg, Michael Moore, Alexandria Ocasio-Cortez, Donald J. Trump",,,USA,,Michael Moore,,Documentary,English,77,"Michael Moore's ""Fahrenheit 11/9"" is a provocative and comedic look at the times in which we live. It will explore the two most important questions of the Trump Era: How the f**k did we get here, and how the f**k do we get out?",https://m.media-amazon.com/images/M/MV5BMjE4NDYxNTk4MV5BMl5BanBnXkFtZTgwNTE1MDMxNjM@._V1_SX300.jpg,Briarcliff Entertainment,,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}, {'Source': 'Rotten Tomatoes', 'Value': '77%'}, {'Source': 'Metacritic', 'Value': '77/100'}]",21-Sep-18,TRUE,,Fahrenheit 11/9,movie,,Michael Moore,2018,tt8632862,5.1,538,,0.51,0.77,0.77
"Odessa Young, Hari Nef, Suki Waterhouse, Abra",,,USA,,Sam Levinson,,"Action, Comedy, Crime",English,53,"After a malicious data hack exposes the secrets of the perpetually American town of Salem, chaos decends and four girls must fight to survive, while coping with the hack themselves.",https://m.media-amazon.com/images/M/MV5BMjA5NTIwNDc3Ml5BMl5BanBnXkFtZTgwOTExNDM5NTM@._V1_SX300.jpg,NEON,,"[{'Source': 'Internet Movie Database', 'Value': '5.9/10'}, {'Source': 'Rotten Tomatoes', 'Value': '65%'}, {'Source': 'Metacritic', 'Value': '53/100'}]",21-Sep-18,TRUE,108 min,Assassination Nation,movie,http://www.assassinationnationmovie.com,Sam Levinson,2018,tt6205872,5.9,"1,650",,0.59,0.65,0.53
"Paulo Avelino, Mon Confiado, Jeffrey Quizon, Benjamin Alves",,,Philippines,,Jerrold Tarog,,History,Filipino,,,https://m.media-amazon.com/images/M/MV5BN2UxZDVkOGItODk3MC00MTIwLWEwNGQtZTA0YjQwYjU0ZjViXkEyXkFqcGdeQXVyMzYxOTQ3MDg@._V1_SX300.jpg,,,[],5-Sep-18,TRUE,,Goyo: Ang Batang Heneral,movie,,"Jerrold Tarog, Rody Vera",2018,tt8443480,,,,-1,-1,-1
